RMSE,MAE,MAPE,R2,Pearson_r,site,mode,test_year,window_start,window_years,n_context,n_test,elapsed_sec
0.2735740608918027,0.213738742750138,31.628627006508992,0.6725948710431684,0.863977583543333,g011_shrubs_ne,zero_shot,2022,2010,12,192,16,0.02
1.7792592323263516,1.4383096794287364,54.40601502826787,0.121472406577664,0.6239124426509061,g012_trees_ne,zero_shot,2012,2000,12,251,18,0.02
1.15332696492406,0.8988439969041131,44.40773629607841,0.6907370115812674,0.8738778718524587,g012_trees_ne,zero_shot,2013,2001,12,248,22,0.02
1.370268731098818,1.1673039165990693,104.42918295383107,0.6316230923633285,0.8077051595209337,g012_trees_ne,zero_shot,2014,2002,12,250,21,0.02
1.8792732780279813,1.423466632240697,153.05793023088924,-0.1022531738262293,0.3086859690731242,g012_trees_ne,zero_shot,2015,2003,12,248,19,0.02
1.557774640131332,1.0705339014530182,37.9439316444041,0.3291696053041504,0.6716420513636959,g012_trees_ne,zero_shot,2016,2004,12,245,20,0.02
2.108312200293005,1.6797239005565645,149.11466636932985,-0.5786973214873068,0.1356413039102682,g012_trees_ne,zero_shot,2017,2005,12,244,20,0.02
0.6815816477882397,0.5485247624547858,29.999701278923613,0.8510966993687674,0.93012620841091,g012_trees_ne,zero_shot,2018,2006,12,240,19,0.02
1.6284638319979503,1.1237853288650512,63.53707900445761,0.1610251808324496,0.4941315563301613,g012_trees_ne,zero_shot,2019,2007,12,234,20,0.02
2.0416790597060763,1.5996650189838626,165.92568903287827,0.1145469204028757,0.55805637672365,g012_trees_ne,zero_shot,2020,2008,12,236,22,0.02
1.4143668660001547,1.0762839943170548,102.0516679526149,0.5082392483353453,0.7765186636021288,g012_trees_ne,zero_shot,2021,2009,12,235,20,0.02
1.5836048037004289,1.0680801938561832,48.5982877151516,0.4344476200212227,0.6838129079526882,g012_trees_ne,zero_shot,2022,2010,12,235,17,0.02
1.1177810726288393,0.7524295142955251,113.50693073970524,0.3851226735156297,0.6789659915137043,g013_grass_nat,zero_shot,2012,2000,12,267,18,0.02
0.6315231563384412,0.4716920285769131,87.48318057307264,0.5067644651620397,0.7612948742450084,g013_grass_nat,zero_shot,2013,2001,12,264,23,0.02
0.8849973266170388,0.6137783349706576,57.66784361908268,0.5825789118396563,0.7999818683700428,g013_grass_nat,zero_shot,2014,2002,12,266,26,0.02
0.8369831292941327,0.5784140055378278,95.86009154005876,0.3187495156148102,0.5984920760514317,g013_grass_nat,zero_shot,2015,2003,12,270,24,0.02
1.248820333195026,0.7973868945240974,133.25618011754355,0.3913476907787279,0.638333950671928,g013_grass_nat,zero_shot,2016,2004,12,271,25,0.02
1.6232903035261352,0.9498879280872644,178.11266109963307,0.2502603115486062,0.6163698535993316,g013_grass_nat,zero_shot,2017,2005,12,273,16,0.02
1.1625840941258003,0.7586226343460705,64.64204550648381,0.463432740901209,0.7910555559693886,g013_grass_nat,zero_shot,2018,2006,12,264,23,0.02
1.2968911001757562,0.7744097553548359,34.837856817379595,0.3063280003247611,0.6806378074808485,g013_grass_nat,zero_shot,2019,2007,12,267,21,0.02
0.6985124781725705,0.4481999799609184,79.01619523730831,0.3096622465285977,0.6539498161694668,g013_grass_nat,zero_shot,2020,2008,12,264,25,0.02
1.155443864635142,0.7264883913423704,64.50232347770111,0.5148839084057613,0.7670696324638868,g013_grass_nat,zero_shot,2021,2009,12,266,23,0.02
1.4539984082534911,0.9863957088244588,83.5959802233551,0.4240652573949909,0.705018019824044,g013_grass_nat,zero_shot,2022,2010,12,268,19,0.02
0.7909407315305127,0.5439390366276106,31.85333622998106,0.7042432012086126,0.8521499171131902,g014_trees_ne,zero_shot,2012,2000,12,250,24,0.02
0.9031152226963678,0.662281408905983,29.14135296229342,0.5776794535462948,0.8048788235509047,g014_trees_ne,zero_shot,2013,2001,12,254,20,0.02
1.028354090931459,0.7537044083530252,49.68167210711659,0.4565402054324916,0.7023649954140458,g014_trees_ne,zero_shot,2014,2002,12,255,22,0.02
1.0156780529615157,0.7527702489624852,54.32488977439488,0.6274000053305029,0.8019328599599496,g014_trees_ne,zero_shot,2015,2003,12,262,23,0.02
0.9491635489870563,0.634767159819603,37.43379158324688,0.3411500476453393,0.7075090367062321,g014_trees_ne,zero_shot,2016,2004,12,262,20,0.02
0.5291272010146514,0.4211837944609147,57.99555535046122,0.8138093382644029,0.9048475949102064,g014_trees_ne,zero_shot,2017,2005,12,260,27,0.02
0.8212945103390988,0.6267071729121001,28.96527911452974,0.6966353636531117,0.8468839004457976,g014_trees_ne,zero_shot,2018,2006,12,265,23,0.02
0.6078840871980528,0.423836608727773,42.7991931168849,0.5453894934029863,0.8247018113789173,g014_trees_ne,zero_shot,2019,2007,12,268,21,0.02
0.5282614045900966,0.3771979781714352,28.48961516864568,0.8237576388124052,0.9330486730904124,g014_trees_ne,zero_shot,2020,2008,12,266,22,0.02
0.6913298466317025,0.5135706812143326,50.628565865288586,0.6923037028680186,0.8391960056783538,g014_trees_ne,zero_shot,2021,2009,12,269,20,0.02
0.6626399249080237,0.4535660892724991,36.29491474244009,0.7621688223055214,0.8781506729479851,g014_trees_ne,zero_shot,2022,2010,12,269,24,0.02
0.95694194324296,0.5648795657214665,42.06306739966392,0.6296129372744487,0.802889729487492,g015_trees_nd,zero_shot,2012,2000,12,251,21,0.02
0.9428689191241248,0.5911563840650377,63.74137186434747,0.6135765214122845,0.7910640754465449,g015_trees_nd,zero_shot,2013,2001,12,251,21,0.02
0.6707154967016171,0.4182727721830209,25.92013205929484,0.6957519349764705,0.8540664457353588,g015_trees_nd,zero_shot,2014,2002,12,252,24,0.02
0.7811477781881344,0.5203225321095922,34.97690897916538,0.6163820212141566,0.789662424593199,g015_trees_nd,zero_shot,2015,2003,12,257,23,0.02
0.7110417492907954,0.4528549912978302,54.72499755672149,0.6728072747575211,0.8214795303237743,g015_trees_nd,zero_shot,2016,2004,12,263,22,0.02
1.0341949015903256,0.7250301504418963,107.52414230770736,0.1443372173211314,0.667423152269176,g015_trees_nd,zero_shot,2017,2005,12,267,21,0.02
0.4850416584572514,0.392939329856918,42.64977294095272,0.7612260745316111,0.8867434167267202,g015_trees_nd,zero_shot,2018,2006,12,268,21,0.02
1.034173121317063,0.6248671557754278,38.75081454242505,0.4520931862801826,0.7227518393824561,g015_trees_nd,zero_shot,2019,2007,12,267,20,0.02
0.516164994638852,0.3596413284540176,29.205352037386746,0.7416705124864678,0.8614209001972615,g015_trees_nd,zero_shot,2020,2008,12,266,22,0.02
0.8961650099912265,0.4418590991269974,21.569265440213144,0.6170696380986099,0.8535788109229642,g015_trees_nd,zero_shot,2021,2009,12,263,21,0.02
0.7235644876583852,0.5801094880229548,63.340977194824376,0.0019013757918301,0.7812011752414287,g015_trees_nd,zero_shot,2022,2010,12,263,19,0.02
0.2279637167365384,0.1878348911801974,21.35173154139917,0.8424482635513443,0.9286286361129436,g016_grass_nat,zero_shot,2012,2000,12,273,24,0.02
0.2899360088550267,0.225184162457784,18.526253990889256,0.7814682015297547,0.8925378390724998,g016_grass_nat,zero_shot,2013,2001,12,275,21,0.02
0.3648686462890315,0.2601379981885354,69.17904757906075,0.6035037181095411,0.8243123461233571,g016_grass_nat,zero_shot,2014,2002,12,274,24,0.02
0.4677461951427742,0.2701882408423857,111.90123910795472,0.5002233963894971,0.7341287583889671,g016_grass_nat,zero_shot,2015,2003,12,275,22,0.02
0.2644064376899934,0.214636145470043,29.79213587420888,0.8131214016338235,0.9360654955033662,g016_grass_nat,zero_shot,2016,2004,12,273,24,0.02
0.3102929109542647,0.2146222792565822,18.651823868869855,0.7801285946401368,0.910572271459318,g016_grass_nat,zero_shot,2017,2005,12,275,20,0.02
0.4385442666468103,0.3629435080548991,53.98392687912191,0.5794218704778601,0.8356826807656634,g016_grass_nat,zero_shot,2018,2006,12,270,23,0.02
0.4167296563110126,0.283898408524692,61.20965918776411,0.6992476295901398,0.8521714806274043,g016_grass_nat,zero_shot,2019,2007,12,271,24,0.02
0.3917004205310154,0.2874618937762884,55.92585050081546,0.625957837033495,0.7927731148561341,g016_grass_nat,zero_shot,2020,2008,12,272,26,0.02
0.3170105889711357,0.2653761897236109,28.10584449134093,0.6740495926600258,0.850784140581071,g016_grass_nat,zero_shot,2021,2009,12,277,24,0.02
0.4308054466157648,0.3362787696330443,39.7307759388948,0.4426088570419936,0.6720448882529249,g016_grass_nat,zero_shot,2022,2010,12,280,23,0.02
0.7876870279359988,0.5193549014982723,85.78614994818327,0.5307997415630255,0.7833134873274431,g017_shrubs_nd,zero_shot,2012,2000,12,238,21,0.02
0.6935905036089504,0.5132881340227629,101.82153554277272,0.5960328715828314,0.773638219689106,g017_shrubs_nd,zero_shot,2013,2001,12,238,19,0.02
0.8498986988806709,0.5479202527891506,66.92739941661482,0.6841883601741405,0.9227422959709954,g017_shrubs_nd,zero_shot,2014,2002,12,236,22,0.02
0.9239284068931984,0.5917141194406309,83.95245052283938,0.6079021751381757,0.7816870722671252,g017_shrubs_nd,zero_shot,2015,2003,12,241,19,0.02
1.009905126139058,0.5392198646441102,34.786609231578446,0.598040935051712,0.7764638170049003,g017_shrubs_nd,zero_shot,2016,2004,12,239,16,0.02
0.8683517092048799,0.5859860043440547,60.13273566213265,0.4667073424878114,0.7133304316427576,g017_shrubs_nd,zero_shot,2017,2005,12,238,21,0.02
1.125344359893368,0.7341209650039673,39.53415435059861,0.5512412652934615,0.8248574470159383,g017_shrubs_nd,zero_shot,2018,2006,12,237,18,0.02
