composite_index,site,n_years,R2,Pearson_r
7,g044_grass_man,10,-0.20508120108352346,0.14893842974287017
7,g045_grass_nat,10,-0.09891170842608354,0.19557785726183138
7,g046_grass_man,10,-0.436342229102761,0.31501066277596784
7,g047_trees_bd,10,-0.2525930802050298,-0.05852794426778384
7,g048_shrubs_bd,10,-0.4347049303398871,-0.1596844795281251
7,g049_trees_be,10,-0.20608815392817692,0.5471510801521492
7,g050_grass_nat,10,-0.5370441200000544,-0.5804995054980812
7,g051_shrubs_bd,10,-0.4686925557136623,0.2453231373869057
7,g055_shrubs_bd,10,0.12616436799283182,0.36029303870052926
7,g056_trees_bd,8,0.17282222542922654,0.5393668414300221
7,g057_grass_man,10,0.512568219189282,0.7947657272750941
7,g058_shrubs_be,8,-0.2320203879338203,0.1360876462662154
7,g061_grass_nat,10,0.00017184415879167858,0.273285167030407
7,g062_grass_nat,10,-0.16728271919793936,0.1428535566403652
7,g063_shrubs_bd,10,-0.6194863714262198,-0.17396923396125805
7,g064_shrubs_be,10,0.25865757274361845,0.5466546975096255
7,g065_shrubs_bd,10,0.5439862218418161,0.8447841955391977
7,g066_grass_nat,10,0.37310273474998357,0.6268128736663928
7,g067_grass_nat,10,-0.18504367879382166,0.003615460028669194
7,g068_grass_nat,10,-0.30315919447449047,-0.1691692909920338
8,g024_trees_ne,11,-0.10063465177770192,0.27141938944877403
8,g025_grass_nat,8,-0.8903946284822404,-0.49011495491962437
8,g029_trees_bd,11,-0.02993702866411474,0.35290757784913307
8,g030_grass_nat,10,-0.5067822766889001,-0.22756093693980872
8,g032_shrubs_bd,11,-0.022371626346052276,0.36662774488982813
8,g033_grass_nat,11,-0.380912567751883,0.33313655332142283
8,g034_grass_man,11,-0.07942338835813878,0.21197915797044778
8,g035_grass_man,11,0.3217707482890019,0.6062530507349408
8,g037_trees_be,10,-0.1344836293171059,0.4020364036437688
8,g038_grass_nat,11,-0.46229048175493026,0.3248637272818544
8,g039_trees_be,11,-0.9368560818591374,0.6488277530399563
8,g040_trees_be,10,-0.2860513709109429,-0.0779081721453301
8,g042_grass_nat,11,-1.6669173843779141,-0.13943594011728758
8,g043_grass_man,10,-0.37413320912513726,0.043754328083262094
8,g044_grass_man,11,-0.478982493789057,-0.6241202059295174
8,g045_grass_nat,11,0.009321547755915649,0.2670693060822468
8,g046_grass_man,8,-0.17812660136063307,-0.2638513825286109
8,g047_trees_bd,11,-0.2974737092857329,-0.0724612806339857
8,g048_shrubs_bd,11,-0.4203737976788666,-0.4006997887330278
8,g049_trees_be,11,-0.19177546155382474,0.3478678688774984
8,g050_grass_nat,11,0.16743090000016037,0.4214548343801068
8,g051_shrubs_bd,11,-0.27966766649409247,0.27853023883667155
8,g055_shrubs_bd,11,0.3594579400847525,0.65421967109154
8,g056_trees_bd,9,-0.46713375303117277,-0.6699009248354754
8,g057_grass_man,11,-0.19843569549826046,0.0856260589141827
8,g058_shrubs_be,9,-0.5783638062391414,0.2328155059489904
8,g059_grass_man,9,-0.3351361425389252,0.25354933339239005
8,g060_shrubs_be,9,-0.670211137382813,-0.33735035522677936
8,g061_grass_nat,10,-0.34162878485551884,-0.04229621033674257
8,g062_grass_nat,11,-0.39220139296416545,-0.07081577123798882
8,g063_shrubs_bd,11,0.2148882495488761,0.5136510332751456
8,g064_shrubs_be,11,0.003507115459959298,0.12560774918057488
8,g065_shrubs_bd,11,0.4102672510552662,0.7124673317612036
8,g066_grass_nat,10,-0.30638110702202126,-0.028681989554306196
8,g067_grass_nat,11,-0.6159487558328474,0.007550702309407236
8,g068_grass_nat,11,0.043608867769508564,0.36917997829845867
8,g069_trees_nd,9,-0.25204184527476103,-0.07031082750245335
9,g019_trees_bd,9,-1.5496978882903818,-0.2273481967980407
9,g024_trees_ne,10,0.08892602334509059,0.5567050714824563
9,g025_grass_nat,8,-0.21938085101639992,-0.1919580238291628
9,g029_trees_bd,11,-0.20554628177152012,-0.052782769900253185
9,g030_grass_nat,11,0.10293085740893393,0.3467955607781309
9,g032_shrubs_bd,11,-0.29963656460928023,0.0521055137150972
9,g033_grass_nat,11,-1.56145255040974,0.18882228305274174
9,g034_grass_man,11,-0.6267268242549064,0.07559438318645682
9,g035_grass_man,11,-0.576881604677274,0.15708021595209018
9,g036_trees_ne,8,0.14964568327407624,0.41919275119156246
9,g037_trees_be,11,-0.11081949480782116,0.051111748284280986
9,g038_grass_nat,11,-0.36586119656828586,-0.07271597915120033
9,g039_trees_be,11,-0.10651558384248294,0.05457549067052694
9,g040_trees_be,11,-0.4305611749079612,-0.04318597686647186
9,g042_grass_nat,11,-1.5035459428914137,0.5338305431582273
9,g043_grass_man,11,-0.07000707895679814,0.3595039009981989
9,g044_grass_man,11,-0.11335225793809678,-0.043962939595032155
9,g045_grass_nat,11,-0.15009552548303118,-0.025155982336795918
9,g046_grass_man,9,-0.3343873896975693,0.18727023309286067
9,g047_trees_bd,11,0.20589194680104483,0.4668376954581897
9,g048_shrubs_bd,11,-0.8603210181403482,-0.6304968326086622
9,g049_trees_be,11,-0.26986169759267,0.11405553341723663
9,g050_grass_nat,11,-0.10102276222874473,0.009878189592083059
9,g051_shrubs_bd,11,0.5238254086907179,0.8046972448640604
