pixel_id,row,col,lat,lon,region,dominant_pft,pft_purity,pft_entropy,mean_lai,amplitude,is_forced_anchor,frac_TREES_NE,frac_TREES_BD,frac_TREES_BE,frac_TREES_ND,frac_SHRUBS_NE,frac_SHRUBS_BE,frac_SHRUBS_BD,frac_SHRUBS_ND,frac_GRASS_NAT,frac_GRASS_MAN
px021_grass_nat,135,305,43.775000000000006,-112.05833330000002,Northern Rockies / Great Basin,GRASS_NAT,0.5600000023841858,0.6859297752380371,0.43992161750793457,0.9491720199584961,False,0.0,0.0,0.4399999976158142,0.0,0.0,0.0,0.0,0.0,0.5600000023841858,0.0
px022_grass_nat,192,760,41.400000000000006,-93.09999996666667,Midwest,GRASS_NAT,0.6172839403152466,0.9304575324058533,0.8195623755455017,1.976078748703003,False,0.0,0.18518519401550293,0.0,0.0,0.0,0.0,0.1975308656692505,0.0,0.6172839403152466,0.0
px023_shrubs_ne,9,159,49.025000000000006,-118.14166663333334,Pacific Northwest,SHRUBS_NE,0.6899999976158142,0.8338149785995483,1.4117010831832886,2.152909755706787,False,0.15000000596046448,0.0,0.0,0.0,0.6899999976158142,0.0,0.0,0.0,0.1599999964237213,0.0
px024_shrubs_bd,425,624,31.691666666666666,-98.76666663333334,Great Plains,SHRUBS_BD,0.6600000262260437,0.8743470907211304,0.8680898547172546,0.9002259373664856,False,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.6600000262260437,0.0,0.1899999976158142,0.0
px025_grass_nat,566,1065,25.816666666666666,-80.39166663333334,Southeast,GRASS_NAT,0.6419753432273865,0.8985178470611572,0.49066534638404846,0.17410215735435486,False,0.0,0.0,0.0,0.16049383580684662,0.0,0.0,0.0,0.19753088057041168,0.6419753432273865,0.0
px026_trees_nd,72,112,46.400000000000006,-120.09999996666667,Pacific Northwest,TREES_ND,0.75,0.5623351335525513,0.9077475666999817,1.1934019327163696,False,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25
px027_grass_man,545,1059,26.691666666666666,-80.64166663333334,Southeast,GRASS_MAN,0.75,0.5623351335525513,1.105394721031189,1.0244004726409912,False,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75
px028_grass_nat,456,869,30.4,-88.55833330000002,Southeast,GRASS_NAT,0.5813953280448914,0.9641510844230652,0.5690624713897705,0.5825129747390747,False,0.1744186133146286,0.0,0.0,0.0,0.24418602883815765,0.0,0.0,0.0,0.5813953280448914,0.0
px029_grass_man,114,894,44.650000000000006,-87.51666663333334,Midwest,GRASS_MAN,0.49000000953674316,1.0463541746139526,1.2041237354278564,2.675903797149658,False,0.0,0.0,0.0,0.25999999046325684,0.0,0.0,0.0,0.0,0.25,0.49000000953674316
px030_grass_man,96,61,45.400000000000006,-122.22499996666667,Pacific Northwest,GRASS_MAN,0.49000000953674316,1.0463541746139526,2.4013619422912598,2.8335490226745605,False,0.25999999046325684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.49000000953674316
