pixel_id,R2_baseline,RMSE_baseline,R2_fractional,RMSE_fractional,R2_dominant,RMSE_dominant,R2_shuffled,RMSE_shuffled,dominant_pft,pft_purity,pft_entropy,delta_fractional_vs_baseline,delta_fractional_vs_shuffled,delta_dominant_vs_baseline
px025_grass_nat,0.3935082297538558,0.0656910873920515,0.3999830692749861,0.0653394910563688,0.4003970043078922,0.06531694921694,0.3997262775328859,0.0653534713676358,GRASS_NAT,0.6419753432273865,0.8985178470611572,0.006474839521130316,0.00025679174210019307,0.006888774554036414
px026_trees_nd,0.9479485944531691,0.1079049640342544,0.9455256010604868,0.1103878862010553,0.9454186421188951,0.1104962048032019,0.9455482049981684,0.1103649813150333,TREES_ND,0.75,0.5623351335525513,-0.002422993392682371,-2.2603937681608954e-05,-0.0025299523342739993
px027_grass_man,0.8361180813087761,0.151337414000036,0.838873728056149,0.150059663427657,0.8382800488374988,0.1503358610695526,0.8396993664296651,0.1496747040486907,GRASS_MAN,0.75,0.5623351335525513,0.002755646747372942,-0.0008256383735161243,0.0021619675287227746
px028_grass_nat,0.4624167439661291,0.1880260851185845,0.4635475839215034,0.1878282187008345,0.4640034004936427,0.1877484041576485,0.4626020970495699,0.1879936676103619,GRASS_NAT,0.5813953280448914,0.9641510844230652,0.0011308399553743298,0.0009454868719335208,0.001586656527513608
px029_grass_man,0.9500261604521052,0.2414080261963776,0.951377778088606,0.2381210268513378,0.9512907877191954,0.2383339436881014,0.9514335496436004,0.2379844206876925,GRASS_MAN,0.4900000095367431,1.0463541746139526,0.0013516176365008237,-5.5771554994366035e-05,0.0012646272670902015
px030_grass_man,0.688589833812095,0.6201539152149065,0.6902918854884608,0.6184568282706375,0.6898656086776571,0.6188822984781772,0.6903068300034378,0.6184419067228983,GRASS_MAN,0.4900000095367431,1.0463541746139526,0.0017020516763657234,-1.4944514977077716e-05,0.0012757748655620738
px031_trees_bd,0.965064199883504,0.3214053990041965,0.9645361784402826,0.3238251588969935,0.964542728313398,0.3237952536082858,0.964720617139451,0.3229819932992198,TREES_BD,0.7200000286102295,0.5929533243179321,-0.0005280214432213937,-0.00018443869916839883,-0.000521471570105958
px032_grass_man,0.8792125963658586,0.364820814474582,0.8827420716735571,0.3594511637655454,0.8824339993170427,0.359923047966017,0.8821851922090131,0.3603037025872421,GRASS_MAN,0.7599999904632568,0.5510799288749695,0.0035294753076985375,0.000556879464543969,0.003221402951184116
px033_trees_ne,0.9870927083213116,0.1596599109002635,0.9865489415905856,0.1629883449157721,0.9865124586682406,0.1632092295636386,0.9865062437488078,0.1632468277947001,TREES_NE,0.7300000190734863,0.583258867263794,-0.0005437667307259808,4.2697841777794565e-05,-0.0005802496530710188
px034_grass_man,0.6303700707736581,0.4227144909826313,0.6327004924033448,0.421379830915525,0.6326085276851283,0.4214325803083517,0.63461373023596,0.4202809287650716,GRASS_MAN,0.7599999904632568,0.5510799288749695,0.002330421629686663,-0.001913237832615211,0.002238456911470177
px035_shrubs_nd,0.5342706384852433,0.1699956416171294,0.5454491250746349,0.1679431237206217,0.5455510767788875,0.1679242885925691,0.5464849875547038,0.1677516542781261,SHRUBS_ND,0.7599999904632568,0.5510799288749695,0.01117848658939169,-0.0010358624800688165,0.011280438293644224
px036_grass_man,0.9632775339149444,0.3033576631539076,0.9618140298432536,0.3093434789381287,0.9621613877988726,0.3079332961325411,0.9614147758311627,0.3109564466058954,GRASS_MAN,0.4900000095367431,1.0463541746139526,-0.0014635040716908243,0.0003992540120908439,-0.0011161461160718034
px037_trees_nd,0.9530476379886804,0.2619932335090694,0.9521228127994512,0.2645609042074222,0.9521270717394288,0.2645491368696147,0.95209831792843,0.2646285727249859,TREES_ND,0.7699999809265137,0.5392763614654541,-0.0009248251892292059,2.4494871021185638e-05,-0.0009205662492516309
px038_grass_nat,0.9102430787034124,0.2329159650169206,0.9120578897087636,0.2305492562343672,0.9120895803964618,0.2305077122982968,0.9120214213123986,0.2305970540991486,GRASS_NAT,0.6419753432273865,0.6522731781005859,0.0018148110053511912,3.646839636495258e-05,0.0018465016930494516
px039_trees_ne,0.9446805930568648,0.2543775874120183,0.942533340997865,0.2592674884653972,0.9425268494402124,0.259282131759009,0.9427318219026094,0.2588193663988068,TREES_NE,0.7525773048400879,0.559485912322998,-0.0021472520589997934,-0.0001984809047443914,-0.002153743616652437
px040_trees_bd,0.9537946700190716,0.1436228003416441,0.954992609178374,0.1417487606914685,0.9550064944576118,0.1417268934723762,0.9549840470341646,0.1417622430950471,TREES_BD,0.6969696879386902,0.6134100556373596,0.0011979391593024413,8.562144209411926e-06,0.0012118244385401766
px041_grass_nat,0.927610989545553,0.0580217407228792,0.9253329551711158,0.0589276219956562,0.9252479635291412,0.0589611503812479,0.925300837848302,0.0589402942126005,GRASS_NAT,0.785714328289032,0.5195798277854919,-0.002278034374437188,3.2117322813829396e-05,-0.0023630260164118067
px042_grass_nat,0.9571510193913207,0.3502004542922876,0.9566376271200135,0.3522921595113086,0.956553206584095,0.3526349247908854,0.957358626157354,0.3493510494651702,GRASS_NAT,0.6499999761581421,0.6474466323852539,-0.0005133922713072003,-0.000720999037340464,-0.0005978128072257061
px043_grass_nat,0.972519678614319,0.2102498676175375,0.973174936684869,0.2077280790880232,0.9732980130718676,0.2072509914103794,0.9729094954258424,0.2087533118641538,GRASS_NAT,0.7900000214576721,0.5139566659927368,0.0006552580705500022,0.00026544125902661087,0.0007783344575486018
px044_grass_nat,0.9403828161201224,0.2738395288099793,0.9420593104654468,0.2699617530987865,0.9420797514726252,0.2699141287352754,0.9420930301439489,0.2698831869961036,GRASS_NAT,0.800000011920929,0.5004023909568787,0.001676494345324353,-3.371967850207547e-05,0.0016969353525028152
px045_grass_nat,-0.7235426292205627,0.1117053183022304,-0.6792181076289421,0.1102595942711036,-0.6769913009319222,0.1101864625397506,-0.674758078722528,0.1101130713325573,GRASS_NAT,0.6200000047683716,0.6640641093254089,0.04432452159162059,-0.00446002890641406,0.0465513282886405
