,tmmx,tmmn,pr,srad,vpd,sph,vs
2021-05-02,302.5297,291.34915,4.917145,203.56741,0.66930246,0.013374703,2.09352
2021-05-03,306.18536,292.54184,0.20551682,246.11778,0.8303449,0.014792366,2.7546446
2021-05-04,306.90134,294.17963,0.21028519,252.77112,1.0774474,0.014963119,3.233676
2021-05-05,307.4359,293.26483,0.36287308,266.11926,1.1520238,0.014261061,3.2969599
2021-05-06,304.39917,294.61523,1.5230179,241.16222,0.97531176,0.01356952,1.8800948
2021-05-07,301.08548,287.76227,0.0,344.9096,1.7242894,0.0058643115,3.4502773
2021-05-08,301.42584,284.4953,0.0,339.19852,1.5604146,0.004679606,1.6783906
2021-05-09,306.0241,287.22833,0.0,330.45038,1.3807836,0.008450081,2.5160873
2021-05-10,304.6239,293.08585,0.03528595,220.41258,1.3132349,0.011699055,2.433056
2021-05-11,303.46405,293.9899,3.2877922,200.30519,0.76311636,0.014450977,1.6194122
2021-05-12,303.37817,292.8234,3.1676292,211.85556,0.58544564,0.014826238,1.4357992
2021-05-13,297.6463,285.66803,4.043579,69.79852,0.28091812,0.009728011,3.0156112
2021-05-14,299.1784,285.71753,0.032901764,281.52,0.7698916,0.0083793895,2.783743
2021-05-15,299.26334,285.54968,0.0,338.4074,1.1365119,0.0065900586,3.3075714
2021-05-16,300.64532,284.63406,0.0,307.04224,1.032911,0.007533979,2.4086976
2021-05-17,301.23715,287.5091,0.0,302.0889,1.0651815,0.009196116,3.1665146
2021-05-18,302.22455,290.7715,0.0023841858,283.2252,1.0488387,0.010874271,3.8564198
2021-05-19,301.5151,291.20413,0.23794174,238.8511,0.9001461,0.011926149,4.1204495
2021-05-20,301.50018,291.69244,0.0,271.67407,1.1353934,0.010659707,4.599586
2021-05-21,300.91568,289.64526,0.19454956,224.52,0.8633816,0.011487654,3.9243877
2021-05-22,302.64795,289.09674,0.0038146973,295.8274,0.9427408,0.0113106575,2.8657365
2021-05-23,304.83575,288.9074,0.0,318.66666,1.1906639,0.010368906,1.4316795
2021-05-24,307.2463,290.8816,0.0,317.28223,1.5304688,0.010422319,1.6028056
2021-05-25,307.9438,291.72034,0.0,332.63333,1.7435652,0.009990836,2.1304867
2021-05-26,307.5552,293.10938,0.0,314.80295,1.6247317,0.011838333,1.8971125
2021-05-27,308.3219,293.31335,0.0,276.10223,1.8013151,0.011797455,1.3339317
2021-05-28,306.7671,293.7386,0.20742416,258.7652,1.6941077,0.012056524,2.001434
2021-05-29,305.18738,293.49716,0.44631958,241.93036,1.2375462,0.013272823,3.3424027
2021-05-30,304.90466,291.67453,0.0,280.82666,1.5002598,0.010172982,1.6454597
2021-05-31,303.3133,292.06235,0.0009536743,291.4926,1.3493369,0.010551499,3.0450735
2021-06-01,304.34784,288.6211,0.0,322.78888,1.2041028,0.01022328,2.3847132
2021-06-02,304.40533,290.6205,8.720875,249.13556,0.8214357,0.013393095,1.5696601
2021-06-03,301.92627,294.7258,7.735729,181.52296,0.43120503,0.016620073,1.41662
2021-06-04,305.28152,295.2539,0.2245903,240.17111,0.9465654,0.015388037,1.3607541
2021-06-05,306.98935,295.97412,4.3730736,230.95334,0.9205303,0.016117193,1.8642339
2021-06-06,306.7171,295.52917,1.1129379,234.43333,0.90134907,0.016631002,2.4540243
2021-06-07,304.00708,297.0846,17.00735,163.14075,0.67433953,0.017599003,2.2714915
2021-06-08,307.633,296.00476,9.3073845,274.64963,1.0035415,0.01613751,1.7997127
2021-06-09,307.08722,296.28476,2.2268295,269.7874,1.1913843,0.015836712,1.6691835
2021-06-10,306.92874,295.9404,2.5057793,278.78076,1.1719086,0.01584889,1.5882906
2021-06-11,308.91382,294.9157,0.019073486,300.74222,1.498229,0.013930214,2.4133964
2021-06-12,304.11545,297.01007,20.929337,209.53853,1.0235684,0.016020963,3.0849102
2021-06-13,303.61014,295.19647,21.271706,218.29556,0.616853,0.01657168,0.919724
2021-06-14,301.73706,294.776,6.4673424,199.22148,0.33360863,0.016899187,0.5138163
2021-06-15,306.57385,296.17984,14.52589,246.13852,0.6898916,0.017274788,2.1065857
2021-06-16,304.1781,295.3827,0.977993,232.39186,0.6784129,0.016661925,3.0910902
2021-06-17,306.35638,295.58383,0.011920929,266.65704,1.0907476,0.015283017,1.661726
2021-06-18,305.67966,295.7166,0.6303787,209.7363,0.8248718,0.016567333,0.9031124
2021-06-19,305.07092,296.62793,0.8506775,174.78667,0.67982817,0.01723932,1.7307624
2021-06-20,302.97473,298.30603,7.795334,171.00592,0.8802881,0.016858416,3.7247677
2021-06-21,303.64923,297.19858,4.98724,208.83481,0.6500547,0.017113635,3.5941641
2021-06-22,299.43655,295.2165,21.006107,75.62593,0.2586043,0.016510066,3.111093
2021-06-23,303.06638,295.56732,3.5943985,191.4674,0.45709896,0.016962182,1.719752
2021-06-24,302.14304,295.1214,3.9114952,179.89925,0.39575696,0.016927704,2.2547371
2021-06-25,302.41412,293.17197,6.608486,213.31186,0.5786078,0.014685204,2.8401077
2021-06-26,303.3585,294.28964,9.981632,249.57408,0.48099375,0.016731152,2.1714973
2021-06-27,304.74298,295.79758,1.0361671,257.25632,0.7936418,0.016496724,2.7581007
