site,model,predictor_set,n_predictors,predictors,RMSE,MAE,R2,Pearson_r,baseline_RMSE,baseline_MAE,baseline_R2,baseline_Pearson_r,delta_RMSE,delta_MAE,delta_R2,delta_Pearson_r
high_amplitude_deciduous,SVM,no_temperature,5,"pr,srad,vpd,sph,vs",0.4669072287421022,0.3664796939168071,0.9454889181080232,0.9750576093182424,0.4435991550983559,0.3355054587665454,0.950795476931212,0.9770896915210188,0.02330807364374632,0.03097423515026171,-0.005306558823188867,-0.0020320822027763974
high_amplitude_deciduous,AELSTM,no_tmmn,6,"tmmx,pr,srad,vpd,sph,vs",0.5201859695045021,0.354160141948325,0.9323386163954516,0.9662261466855108,0.5131185490276505,0.3333454675486489,0.9341646672364492,0.966832290323584,0.007067420476851605,0.020814674399676103,-0.0018260508409976284,-0.0006061436380732088
high_amplitude_deciduous,BiLSTM,no_tmmn,6,"tmmx,pr,srad,vpd,sph,vs",0.3961963230604184,0.279220585358421,0.9607495638084746,0.9811815585435864,0.4152603391336414,0.2862535212722756,0.956881413587146,0.9794111563358704,-0.019064016073223,-0.007032935913854621,0.0038681502213286922,0.0017704022077159598
high_amplitude_deciduous,LSTM,no_tmmn,6,"tmmx,pr,srad,vpd,sph,vs",0.468806298759652,0.3300335884289648,0.945044586210528,0.9735428095637504,0.4841476706470805,0.3293260085174674,0.9413889773009724,0.9710134503651208,-0.015341371887428457,0.0007075799114973913,0.00365560890955563,0.0025293591986296216
high_amplitude_deciduous,GRU,no_tmmn,6,"tmmx,pr,srad,vpd,sph,vs",0.4056842029356584,0.2868032508617256,0.958847161123962,0.9802217271661344,0.393047223676,0.2864433105708777,0.9613710350157588,0.9819227885206468,0.012636979259658399,0.00035994029084790435,-0.0025238738917968684,-0.0017010613545124231
high_amplitude_deciduous,RNN,no_tmmn,6,"tmmx,pr,srad,vpd,sph,vs",0.4406360700339845,0.3010927417912046,0.9514506190746408,0.9764510292164,0.4260640456792504,0.2955901090790109,0.95460862069852,0.9791241216637164,0.014572024354734092,0.0055026327121937,-0.0031580016238792474,-0.002673092447316394
high_amplitude_deciduous,CNN,no_tmmn,6,"tmmx,pr,srad,vpd,sph,vs",0.428286402586543,0.3168937853869347,0.9541338614159062,0.9777125117709022,0.487907218404951,0.3438821474669494,0.9404751797263274,0.9704944319630406,-0.059620815818408,-0.026988362080014705,0.013658681689578733,0.007218079807861599
high_amplitude_deciduous,RF,no_tmmn,6,"tmmx,pr,srad,vpd,sph,vs",0.4190798185641503,0.2945589624234491,0.9560845739506416,0.9787344981517796,0.4141766503085155,0.2858543115812303,0.9571061697454496,0.9792283392968696,0.004903168255634749,0.008704650842218775,-0.0010215957948079835,-0.0004938411450899904
high_amplitude_deciduous,SVM,no_tmmn,6,"tmmx,pr,srad,vpd,sph,vs",0.4076859915443837,0.3284850053768059,0.9584400339660952,0.9821813655798504,0.4435991550983559,0.3355054587665454,0.950795476931212,0.9770896915210188,-0.03591316355397223,-0.0070204533897395005,0.007644557034883204,0.005091674058831597
high_amplitude_deciduous,AELSTM,no_tmmx,6,"tmmn,pr,srad,vpd,sph,vs",0.5449313148351127,0.3606499247415073,0.92574817416858,0.9624180104253643,0.5131185490276505,0.3333454675486489,0.9341646672364492,0.966832290323584,0.03181276580746217,0.0273044571928584,-0.00841649306786918,-0.004414279898219631
high_amplitude_deciduous,BiLSTM,no_tmmx,6,"tmmn,pr,srad,vpd,sph,vs",0.3862809248647617,0.2762362443571353,0.9626895805794452,0.9828634466402584,0.4152603391336414,0.2862535212722756,0.956881413587146,0.9794111563358704,-0.028979414268879733,-0.010017276915140316,0.005808166992299246,0.003452290304387984
high_amplitude_deciduous,LSTM,no_tmmx,6,"tmmn,pr,srad,vpd,sph,vs",0.4786459145307685,0.3396656790474059,0.942713496107078,0.9714626180398556,0.4841476706470805,0.3293260085174674,0.9413889773009724,0.9710134503651208,-0.005501756116311984,0.010339670529938505,0.0013245188061056234,0.00044916767473479613
high_amplitude_deciduous,GRU,no_tmmx,6,"tmmn,pr,srad,vpd,sph,vs",0.3978031366646841,0.283931704583169,0.9604305501240196,0.9808695511510108,0.393047223676,0.2864433105708777,0.9613710350157588,0.9819227885206468,0.004755912988684108,-0.002511605987708665,-0.0009404848917392572,-0.0010532373696360287
high_amplitude_deciduous,RNN,no_tmmx,6,"tmmn,pr,srad,vpd,sph,vs",0.3742096348921903,0.2711357055439163,0.964985047908516,0.9846666868982124,0.4260640456792504,0.2955901090790109,0.95460862069852,0.9791241216637164,-0.0518544107870601,-0.024454403535094593,0.010376427209995986,0.005542565234495922
high_amplitude_deciduous,CNN,no_tmmx,6,"tmmn,pr,srad,vpd,sph,vs",0.4728983795704438,0.3368113840718316,0.9440810178401826,0.972352921849413,0.487907218404951,0.3438821474669494,0.9404751797263274,0.9704944319630406,-0.01500883883450721,-0.007070763395117807,0.0036058381138551754,0.001858489886372383
high_amplitude_deciduous,RF,no_tmmx,6,"tmmn,pr,srad,vpd,sph,vs",0.4279967852230536,0.2952318287521214,0.9541958719709834,0.9774711120817408,0.4141766503085155,0.2858543115812303,0.9571061697454496,0.9792283392968696,0.013820134914538096,0.009377517170891081,-0.002910297774466164,-0.0017572272151288315
