pixel_id,experiment,dominant_pft,pft_purity,pft_entropy,baseline,dominant,fractional,delta_fractional_vs_baseline,delta_dominant_vs_baseline,delta_fractional_vs_dominant
px053_shrubs_ne,expA_temporal,SHRUBS_NE,0.8500000238418579,0.4227090775966644,0.9140633266812886,0.9145732323953594,0.914489119230766,0.0004257925494773884,0.0005099057140707242,-8.411316459333573e-05
px054_shrubs_ne,expA_temporal,SHRUBS_NE,0.8500000238418579,0.4227090775966644,0.8508453607926745,0.8508158517555566,0.8508710821975094,2.5721404834921913e-05,-2.950903711784747e-05,5.523044195276938e-05
px055_shrubs_bd,expA_temporal,SHRUBS_BD,0.8100000023841858,0.4862229228019714,0.8055156286178946,0.8040341477043056,0.8042856760746162,-0.0012299525432784009,-0.0014814809135890172,0.00025152837031061637
px056_shrubs_nd,expA_temporal,SHRUBS_ND,0.6100000143051147,0.9285967350006104,0.8940135318981474,0.8914378509741776,0.8911286480507665,-0.002884883847380837,-0.0025756809239697587,-0.00030920292341107825
px057_shrubs_nd,expA_temporal,SHRUBS_ND,0.8400000333786011,0.5168823003768921,0.777069130429016,0.7771249834387697,0.7771065501485884,3.741971957238466e-05,5.585300975363694e-05,-1.8433290181252282e-05
px058_grass_nat,expA_temporal,GRASS_NAT,0.644444465637207,0.6508179903030396,0.9406095010165904,0.9402107763721096,0.939460612183846,-0.0011488888327443325,-0.0003987246444807635,-0.000750164188263569
px059_shrubs_bd,expA_temporal,SHRUBS_BD,0.6700000166893005,0.634178638458252,0.264663461123912,0.2584060207390338,0.2598600157678536,-0.004803445356058367,-0.006257440384878188,0.0014539950288198211
px060_grass_nat,expA_temporal,GRASS_NAT,0.4799999892711639,1.0047465562820437,0.9777597644125784,0.977527428759161,0.9778637739418516,0.00010400952927325235,-0.0002323356534174037,0.00033634518269065605
px061_grass_nat,expA_temporal,GRASS_NAT,0.4600000083446502,0.9989753365516664,0.9103555033389086,0.9045637267067392,0.9060640410428504,-0.004291462296058146,-0.005791776632169343,0.001500314336111197
px062_shrubs_nd,expA_temporal,SHRUBS_ND,0.6299999952316284,0.6589556932449341,0.5864152710338519,0.5859128856626739,0.586335454262606,-7.98167712459108e-05,-0.0005023853711780824,0.00042256859993217155
px062_shrubs_nd,expB_spatial,SHRUBS_ND,0.6299999952316284,0.6589556932449341,0.5864152923389183,0.5837932771516372,0.5832143102905027,-0.003200982048415568,-0.0026220151872811126,-0.0005789668611344556
px063_trees_bd,expA_temporal,TREES_BD,0.8500000238418579,0.4227090775966644,0.9154242507199194,0.9170499398537818,0.9170301157454892,0.0016058650255698081,0.0016256891338624069,-1.982410829259873e-05
px064_shrubs_bd,expA_temporal,SHRUBS_BD,0.8600000143051147,0.4049634933471679,0.6027565634252527,0.5937151954943407,0.5920644657175786,-0.010692097707674098,-0.009041367930912036,-0.001650729776762061
px064_shrubs_bd,expB_spatial,SHRUBS_BD,0.8600000143051147,0.4049634933471679,0.6027565831884654,0.5906468512831393,0.5888204832931532,-0.013936099895312193,-0.012109731905326049,-0.001826367989986144
px065_trees_ne,expA_temporal,TREES_NE,0.8600000143051147,0.4049634933471679,0.9371568226429784,0.9376977526189998,0.9378027249280892,0.0006459022851108553,0.0005409299760213981,0.0001049723090894572
px066_grass_man,expA_temporal,GRASS_MAN,0.6399999856948853,0.653418242931366,0.9403705902538788,0.9380206278109317,0.9381078852871372,-0.0022627049667416355,-0.002349962442947162,8.725747620552671e-05
px067_grass_man,expA_temporal,GRASS_MAN,0.8799999952316284,0.3669250011444092,0.920001584078287,0.9209891189581262,0.921083314752777,0.0010817306744900224,0.0009875348798391581,9.419579465086425e-05
px067_grass_man,expB_spatial,GRASS_MAN,0.8799999952316284,0.3669250011444092,0.920001595762724,0.9207423402463156,0.921225906584335,0.0012243108216110077,0.0007407444835916266,0.0004835663380193811
px068_trees_nd,expA_temporal,TREES_ND,0.8700000047683716,0.3863867223262787,0.5645162128244409,0.567134246652518,0.5665122053591218,0.001995992534680968,0.0026180338280771265,-0.0006220412933961583
px069_trees_bd,expA_temporal,TREES_BD,0.6000000238418579,0.6730116605758667,0.9278337259756914,0.930679255678012,0.9305851268020392,0.0027514008263478384,0.0028455297023206594,-9.412887597282094e-05
