RMSE,MAE,MAPE,R2,Pearson_r,site,source,test_year,context_steps,dominant_pft,pft_purity,region,n_pixels_done,gridmet_RMSE,gridmet_MAE,gridmet_MAPE,gridmet_R2,gridmet_Pearson_r,R2_diff_era5_minus_gridmet
0.0974711343345573,0.0717575643625524,35.29288369148694,0.9380898694378226,0.9800832946514694,px048_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.6299999952316284,Pacific Northwest,49,0.103771,0.078126,43.678688,0.929828,0.980355,0.008261869437822589
0.2827960857319471,0.2126604000727335,12.387560237934617,0.9364192029755471,0.9679505334788194,px044_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.800000011920929,Northeast,45,0.27384,0.209452,12.553087,0.940383,0.969849,-0.00396379702445282
0.302480347813343,0.2348449064625634,23.81134466700257,0.9362995471137876,0.9740547016766966,px006_trees_nd,ERA5-cloud,2022,1002,TREES_ND,1.0,Great Plains,7,0.285693,0.217736,22.858841,0.943174,0.976124,-0.006874452886212357
0.3202825274239832,0.1675842940807342,22.08220970768676,0.9354828379573266,0.9729518923079729,mixed_forest_grass,ERA5-cloud,2022,1002,TREES_BD,0.5,Midwest,4,0.3258699738485807,0.1736695693598853,23.00694535491063,0.9332121515335492,0.9705503978464686,0.0022706864237773683
0.2146750959367307,0.1360606471697489,35.72608492177581,0.93469402439738,0.9725420202158024,px013_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.5099999904632568,Great Plains,14,0.227636,0.14909,42.790977,0.926571,0.966038,0.008123024397379996
0.1327147136042507,0.1147742850912941,14.13337747043371,0.9212613868677738,0.979573123045354,px026_trees_nd,ERA5-cloud,2022,1002,TREES_ND,0.75,Pacific Northwest,27,0.107905,0.090015,11.885293,0.947949,0.981857,-0.02668761313222623
0.3302720357940368,0.1847725359929932,29.02090874946115,0.919702708000969,0.9681054709462688,px067_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.8799999952316284,Great Plains,68,0.329657,0.188518,32.672394,0.920002,0.96913,-0.0002992919990310039
0.3128029309970946,0.193330963452657,21.51809515408932,0.91637312496428,0.9608559825662398,px018_trees_nd,ERA5-cloud,2022,1002,TREES_ND,0.5400000214576721,Midwest,19,0.324412,0.206226,25.02209,0.910051,0.956062,0.006322124964279974
0.2769057068747336,0.199644881983598,43.18163778641044,0.9150715546668008,0.9574010076162054,px005_trees_bd,ERA5-cloud,2022,1002,TREES_BD,1.0,Great Plains,6,0.292339,0.219776,52.370991,0.905341,0.951846,0.00973055466680084
0.0874328686857715,0.0623641052386826,24.10732210176869,0.9133629855564118,0.9807469769888586,px061_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.4600000083446502,Pacific Northwest,62,0.088937,0.066879,26.163708,0.910355,0.981049,0.0030079855564117963
0.3281514844381349,0.2261074139219191,71.74166851211655,0.9081120315638946,0.956678385279906,px063_trees_bd,ERA5-cloud,2022,1002,TREES_BD,0.8500000238418579,Great Plains,64,0.314824,0.219191,67.257799,0.915424,0.960999,-0.007311968436105376
0.048282845733123,0.0404881560140185,8.679596608341772,0.904862930624827,0.9522532349595956,px050_shrubs_ne,ERA5-cloud,2022,1002,SHRUBS_NE,0.6800000071525574,Southwest,51,0.051979,0.04114,8.538777,0.889738,0.956187,0.015124930624827004
